소재지면적,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
63.02,서울특별시 마포구 서교동 399-9,"서울특별시 마포구 양화로6길 57-12, 1층 (서교동)",라운지목화 합정관,중국식,192669.383194723,449648.516083399
47.98,서울특별시 마포구 서교동 361-6,"서울특별시 마포구 와우산로18길 21, 지1층 (서교동)",소울버튼블루,라이브카페,193201.659573033,449878.932065817
610.52,서울특별시 마포구 서교동 378-10 H 스퀘어,"서울특별시 마포구 양화로 81, H 스퀘어 102호,103호,104호,105호 (서교동)",탭샵바 합정점,한식,192565.856894657,449977.778211886
48.37,서울특별시 마포구 서교동 333-37,"서울특별시 마포구 와우산로29마길 7-8, 지1층 우측호 (서교동)",연남골목냉면,한식,193472.105654798,450345.430511468
56.08,서울특별시 마포구 서교동 360-24,"서울특별시 마포구 와우산로 66, 지층 (서교동)",별빛퐁당,한식,193149.006349719,449796.117137603
54.0,서울특별시 마포구 서교동 396-27,"서울특별시 마포구 독막로3길 24-10, 지1층 A호 (서교동)",유아하,중국식,192626.322505278,449645.01155379
93.82,서울특별시 마포구 서교동 347-14,"서울특별시 마포구 와우산로27길 62, 2층 (서교동)",증증일상,중국식,193340.696605464,450339.451837826
102.25,서울특별시 마포구 서교동 368-12 S368빌딩,"서울특별시 마포구 잔다리로2길 7, S368빌딩 1층 (서교동)",낙경,한식,192894.084754794,449922.799623418
90.0,서울특별시 마포구 서교동 342-3,"서울특별시 마포구 와우산로25길 13, 2층 (서교동)",왕소야,중국식,193376.593438614,450193.415123055
76.38,서울특별시 마포구 서교동 355-25,"서울특별시 마포구 홍익로5안길 24, 1층 101호 (서교동)",잇스시,일식,192988.884997922,450160.268023234
63.0,서울특별시 마포구 서교동 411-7,"서울특별시 마포구 와우산로15길 33, 202호 (서교동)",비에이치씨상수점,호프/통닭,193007.490930719,449650.437180887
86.56,서울특별시 마포구 서교동 408-18 스페이스빌딩,"서울특별시 마포구 와우산로17길 19-24, 스페이스빌딩 1층 (서교동)",호박꽃 홍대점,한식,192978.954765258,449666.620592809
90.0,서울특별시 마포구 서교동 399-23 1층,"서울특별시 마포구 양화로6길 65, 1층 (서교동)",해몽 마포점,한식,192667.481707413,449614.532287895
