사업장명,Keyword_Review_Summary,Facility_Available,Parking_Available
라운지목화 합정관,"{'""음식이 맛있어요""': 293, '""인테리어가 멋져요""': 168, '""친절해요""': 129, '""대화하기 좋아요""': 114}","['단체 이용 가능', '예약', '무선 인터넷']",False
탭샵바 합정점,"{'""술이 다양해요""': 111, '""음식이 맛있어요""': 99, '""인테리어가 멋져요""': 76, '""음악이 좋아요""': 52}","['와인 페어링', '전문 소믈리에', '포장', '단체 이용 가능', '배달', '예약', '무선 인터넷', '남/녀 화장실 구분', '장애인 휠체어 이용가능', '출입구 휠체어 이용가능']",True
연남골목냉면,"{'""음식이 맛있어요""': 58, '""재료가 신선해요""': 15, '""양이 많아요""': 14, '""혼밥하기 좋아요""': 12}",[],False
유아하,"{'""음식이 맛있어요""': 60, '""인테리어가 멋져요""': 38, '""특별한 메뉴가 있어요""': 38, '""친절해요""': 31}","['콜키지 가능', '생일 혜택', '단체 이용 가능']",False
증증일상,"{'""음식이 맛있어요""': 480, '""친절해요""': 223, '""특별한 메뉴가 있어요""': 184, '""가성비가 좋아요""': 174}","['포장', '배달', '무선 인터넷', '유아의자', '예약']",False
낙경,"{'""음식이 맛있어요""': 320, '""친절해요""': 192, '""인테리어가 멋져요""': 176, '""특별한 메뉴가 있어요""': 147}","['콜키지 가능', '생일 혜택', '예약', '무선 인터넷', '남/녀 화장실 구분', '단체 이용 가능', '노키즈존']",False
왕소야,"{'""음식이 맛있어요""': 751, '""재료가 신선해요""': 482, '""친절해요""': 406, '""특별한 메뉴가 있어요""': 285}","['포장', '무선 인터넷', '예약', '단체 이용 가능']",True
잇스시,"{'""음식이 맛있어요""': 772, '""재료가 신선해요""': 484, '""친절해요""': 364, '""인테리어가 멋져요""': 352}","['콜키지 가능', '비건 메뉴', '포장', '배달', '예약', '남/녀 화장실 구분', '무선 인터넷', '단체 이용 가능']",False
호박꽃 홍대점,"{'""음식이 맛있어요""': 271, '""재료가 신선해요""': 172, '""친절해요""': 163, '""인테리어가 멋져요""': 146}","['콜키지 가능', '생일 혜택', '단체 이용 가능', '무선 인터넷', '남/녀 화장실 구분', '예약']",False
해몽 마포점,"{'""음식이 맛있어요""': 191, '""고기 질이 좋아요""': 146, '""친절해요""': 118, '""직접 잘 구워줘요""': 65}","['콜키지 가능', '남/녀 화장실 구분', '무선 인터넷', '예약', '단체 이용 가능']",False
골목포차,"{'""음식이 맛있어요""': 64, '""가성비가 좋아요""': 44, '""친절해요""': 33, '""음악이 좋아요""': 31}","['생일 혜택', '남/녀 화장실 구분', '예약', '단체 이용 가능', '반려동물 동반', '무선 인터넷', '노키즈존', '대기공간', '좌석 휠체어 이용가능']",False
역전할머니맥주 홍대입구역점,"{'""음식이 맛있어요""': 206, '""가성비가 좋아요""': 121, '""기본 안주가 좋아요""': 101, '""술이 다양해요""': 67}",[],False
만선호프,"{'""음식이 맛있어요""': 100, '""음악이 좋아요""': 63, '""단체모임 하기 좋아요""': 62, '""가성비가 좋아요""': 51}","['남/녀 화장실 구분', '단체 이용 가능', '예약', '반려동물 동반']",False
달콤왕가탕후루 홍대1호점,"{'""디저트가 맛있어요""': 47, '""친절해요""': 10, '""특별한 메뉴가 있어요""': 9, '""가성비가 좋아요""': 5}",[],False
오늘하루,"{'""음식이 맛있어요""': 126, '""기본 안주가 좋아요""': 83, '""술이 다양해요""': 63, '""친절해요""': 63}","['단체 이용 가능', '예약', '무선 인터넷']",False
야타이 쇼부,"{'""음식이 맛있어요""': 145, '""기본 안주가 좋아요""': 64, '""인테리어가 멋져요""': 62, '""술이 다양해요""': 57}","['생일 혜택', '콜키지 가능', '예약', '단체 이용 가능', '무선 인터넷']",False
감초통닭,"{'""음식이 맛있어요""': 71, '""친절해요""': 31, '""재료가 신선해요""': 23, '""가성비가 좋아요""': 23}","['테이크아웃 할인', '배달', '포장', '무선 인터넷', '예약', '대기공간']",False
그늘,"{'""음식이 맛있어요""': 715, '""술이 다양해요""': 388, '""인테리어가 멋져요""': 344, '""기본 안주가 좋아요""': 325}","['콜키지 가능', '단체 이용 가능', '무선 인터넷', '예약', '반려동물 동반']",False
지원,"{'""상품이 다양해요""': 58, '""친절해요""': 27, '""트렌디한 상품이 많아요""': 20, '""즉석조리 식품이 맛있어요""': 9}",['택배'],False
오소바텐,"{'""음식이 맛있어요""': 50, '""특별한 메뉴가 있어요""': 29, '""재료가 신선해요""': 23, '""친절해요""': 17}",['출입구 휠체어 이용가능'],False
디스,"{'""술이 다양해요""': 14, '""친절해요""': 13, '""음악이 좋아요""': 11, '""가성비가 좋아요""': 10}","['무선 인터넷', '남/녀 화장실 구분', '단체 이용 가능']",False
카페 위밋데얼,"{'""음료가 맛있어요""': 210, '""커피가 맛있어요""': 171, '""친절해요""': 170, '""디저트가 맛있어요""': 144}","['단체 이용 가능', '포장', '무선 인터넷', '반려동물 동반', '예약', '방문접수/출장']",False
개화당,"{'""음식이 맛있어요""': 115, '""술이 다양해요""': 67, '""음악이 좋아요""': 61, '""인테리어가 멋져요""': 56}","['반려동물 동반', '남/녀 화장실 구분', '단체 이용 가능']",False
로타리,"{'""음식이 맛있어요""': 96, '""친절해요""': 53, '""특별한 메뉴가 있어요""': 43, '""술이 다양해요""': 41}","['무선 인터넷', '남/녀 화장실 구분']",False
미지,"{'""음식이 맛있어요""': 524, '""친절해요""': 354, '""재료가 신선해요""': 260, '""특별한 날 가기 좋아요""': 250}","['생일 혜택', '콜키지 가능', '예약', '무선 인터넷', '단체 이용 가능']",False
401,"{'""음식이 맛있어요""': 176, '""친절해요""': 72, '""고기 질이 좋아요""': 52, '""매장이 넓어요""': 30}","['예약', '단체 이용 가능', '무선 인터넷', '남/녀 화장실 구분']",False
꽃게나라,"{'""음식이 맛있어요""': 155, '""재료가 신선해요""': 108, '""친절해요""': 95, '""양이 많아요""': 74}","['포장', '남/녀 화장실 구분', '무선 인터넷', '예약']",False
단디,"{'""음식이 맛있어요""': 317, '""인테리어가 멋져요""': 140, '""대화하기 좋아요""': 128, '""기본 안주가 좋아요""': 117}","['생일 혜택', '단체 이용 가능', '예약', '무선 인터넷', '대기공간']",False
해주방,"{'""음식이 맛있어요""': 113, '""재료가 신선해요""': 44, '""친절해요""': 37, '""혼밥하기 좋아요""': 32}",[],False
쏘시지요,"{'""음식이 맛있어요""': 151, '""가성비가 좋아요""': 117, '""인테리어가 멋져요""': 49, '""친절해요""': 46}","['단체 이용 가능', '예약', '무선 인터넷']",False
육전국밥 홍대점,"{'""음식이 맛있어요""': 319, '""양이 많아요""': 95, '""가성비가 좋아요""': 91, '""재료가 신선해요""': 86}","['단체 이용 가능', '포장', '배달', '무선 인터넷', '남/녀 화장실 구분']",False
와따분식 홍대점,"{'""음식이 맛있어요""': 213, '""재료가 신선해요""': 73, '""가성비가 좋아요""': 73, '""혼밥하기 좋아요""': 69}","['배달', '포장', '무선 인터넷']",False
너가술집사장,"{'""음식이 맛있어요""': 588, '""기본 안주가 좋아요""': 363, '""술이 다양해요""': 282, '""특별한 메뉴가 있어요""': 248}","['무선 인터넷', '남/녀 화장실 구분', '단체 이용 가능', '장애인 주차구역']",False
한월,"{'""음식이 맛있어요""': 195, '""술이 다양해요""': 133, '""특별한 메뉴가 있어요""': 109, '""인테리어가 멋져요""': 83}","['남/녀 화장실 구분', '반려동물 동반', '예약', '포장']",False
왔쏘 홍대점,"{'""음식이 맛있어요""': 88, '""가성비가 좋아요""': 67, '""친절해요""': 51, '""양이 많아요""': 37}","['무한 리필', '예약', '단체 이용 가능']",False
88야키토리,"{'""음식이 맛있어요""': 39, '""술이 다양해요""': 17, '""대화하기 좋아요""': 14, '""친절해요""': 12}","['단체 이용 가능', '예약']",False
김김포차,"{'""음식이 맛있어요""': 45, '""가성비가 좋아요""': 33, '""친절해요""': 24, '""특별한 메뉴가 있어요""': 21}","['무선 인터넷', '반려동물 동반', '예약', '단체 이용 가능']",False
미쉐,"{'""음료가 맛있어요""': 73, '""가성비가 좋아요""': 61, '""디저트가 맛있어요""': 58, '""커피가 맛있어요""': 42}","['포장', '배달']",False
석,"{'""음식이 맛있어요""': 695, '""양이 많아요""': 431, '""친절해요""': 339, '""특별한 메뉴가 있어요""': 319}","['단체 이용 가능', '예약', '무선 인터넷', '남/녀 화장실 구분', '포장']",False
황포25,"{'""음식이 맛있어요""': 115, '""친절해요""': 78, '""기본 안주가 좋아요""': 56, '""가성비가 좋아요""': 43}","['단체 이용 가능', '예약', '포장', '남/녀 화장실 구분', '무선 인터넷']",False
일편장어,"{'""음식이 맛있어요""': 128, '""재료가 신선해요""': 108, '""매장이 넓어요""': 71, '""친절해요""': 56}","['콜키지 가능', '생일 혜택', '단체 이용 가능', '예약', '무선 인터넷', '남/녀 화장실 구분', '대기공간', '출입구 휠체어 이용가능', '좌석 휠체어 이용가능']",False
청운,"{'""음식이 맛있어요""': 318, '""가성비가 좋아요""': 117, '""친절해요""': 114, '""양이 많아요""': 111}",[],False
철인7호,"{'""음식이 맛있어요""': 697, '""양이 많아요""': 345, '""친절해요""': 298, '""가성비가 좋아요""': 251}","['테이크아웃 할인', '예약', '포장', '배달', '무선 인터넷']",False
지하102호 5호점,"{'""음식이 맛있어요""': 343, '""인테리어가 멋져요""': 212, '""기본 안주가 좋아요""': 154, '""친절해요""': 149}","['생일 혜택', '콜키지 가능', '단체 이용 가능', '반려동물 동반', '남/녀 화장실 구분', '무선 인터넷', '예약']",False
길상양꼬치,"{'""음식이 맛있어요""': 63, '""고기 질이 좋아요""': 47, '""매장이 넓어요""': 31, '""친절해요""': 29}","['단체 이용 가능', '남/녀 화장실 구분', '대기공간', '포장', '예약']",False
무청감자탕 홍대점,"{'""음식이 맛있어요""': 35, '""양이 많아요""': 24, '""매장이 넓어요""': 21, '""재료가 신선해요""': 16}","['포장', '배달']",False
혼가츠,"{'""음식이 맛있어요""': 676, '""양이 많아요""': 223, '""가성비가 좋아요""': 213, '""친절해요""': 211}","['단체 이용 가능', '무선 인터넷', '남/녀 화장실 구분']",False
한상팔삼 우육미면,"{'""음식이 맛있어요""': 233, '""재료가 신선해요""': 114, '""친절해요""': 111, '""인테리어가 멋져요""': 96}","['글루텐프리 메뉴', '단체 이용 가능', '무선 인터넷']",False
파스토보이 마포점,"{'""음식이 맛있어요""': 101, '""친절해요""': 33, '""가성비가 좋아요""': 33, '""재료가 신선해요""': 21}",['포장'],False
열정의선창,"{'""술이 다양해요""': 72, '""특별한 메뉴가 있어요""': 63, '""인테리어가 멋져요""': 53, '""친절해요""': 53}",['생일 혜택'],True
숨은꼬치,"{'""음식이 맛있어요""': 128, '""고기 질이 좋아요""': 92, '""친절해요""': 61, '""직접 잘 구워줘요""': 51}","['콜키지 가능', '예약', '무선 인터넷', '단체 이용 가능']",False
간바레미나상,"{'""음식이 맛있어요""': 85, '""음악이 좋아요""': 51, '""인테리어가 멋져요""': 45, '""대화하기 좋아요""': 43}","['반려동물 동반', '예약', '단체 이용 가능', '대기공간']",False
힙하디,"{'""음악이 좋아요""': 103, '""술이 다양해요""': 84, '""인테리어가 멋져요""': 65, '""친절해요""': 40}","['단체 이용 가능', '예약']",False
